 INFO  Accepting connections at http://localhost:3000
 HTTP  2025/12/1 銝?9:57:29 ::1 Returned 304 in 0 ms
 HTTP  2025/12/1 銝?9:57:29 ::1 GET /leave-application
 HTTP  2025/12/1 銝?9:57:29 ::1 Returned 200 in 0 ms
 HTTP  2025/12/1 銝?9:57:29 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:57:29 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:57:29 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:57:29 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:57:29 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:57:29 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:57:46 ::1 GET /login
 HTTP  2025/12/1 銝?9:57:46 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:57:46 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:57:46 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:57:46 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:57:46 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:57:46 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:57:46 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:57:47 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:57:47 ::1 Returned 304 in 0 ms
 HTTP  2025/12/1 銝?9:57:47 ::1 GET /leave-application
 HTTP  2025/12/1 銝?9:57:47 ::1 Returned 200 in 0 ms
 HTTP  2025/12/1 銝?9:57:47 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:57:47 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:57:47 ::1 Returned 304 in 0 ms
 HTTP  2025/12/1 銝?9:57:47 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:57:47 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:57:47 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:58:04 ::1 GET /login
 HTTP  2025/12/1 銝?9:58:04 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:58:04 ::1 GET /static/js/main.f9daecb2.js
